DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,chl,phy,ph,Celsius,spcond,do,turb,Salinity,MG,Enterococcus,E_coli,Ammonium (uM).x,Nitrate+nitrite (uM).x,Phosphate (uM).x,Total phosphorus (uM).x,Chlorophyll a (ug/L).x,Phaeophytin (ug/L).x,Ammonium (uM).y,Nitrate+nitrite (uM).y,Phosphate (uM).y,Total phosphorus (uM).y,Chlorophyll a (ug/L).y,Phaeophytin (ug/L).y
1/1/2015,30.01736842,6.56,27,0,42.28,29.9928,9.9856,21.4,230,23.6,14.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/2/2015,30.04708333,15.25,34.5625,0,45.53125,30.01375,9.985,28.25,245,24.5,13.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/3/2015,30.555,14.66666667,28.38888889,0.05,57.61111111,30.52305556,8.493611111,24.33333333,125,22,9.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/4/2015,29.98785714,37.54,38.52,1.48,96.54,29.9668,2.7998,38.22,182.2,25,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/5/2015,29.80678571,24.5,40.02777778,0.12,57.44444444,29.77472222,9.363055556,35.05555556,268.3333333,33.34782609,19.69444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/6/2015,30.25633333,2.864864865,17.08108108,0.02,55.56756757,30.23243243,6.923783784,13.97297297,272.4324324,25.5,11.37837838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/7/2015,29.91344828,7.432432432,18.51351351,0,64.05405405,29.88702703,9.10972973,15.78378378,238.3783784,27.16666667,11.86486486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/2015,30.21875,-10.53125,7.8125,0,42.5,30.18375,9.985,5.09375,276.25,26.76470588,15.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/9/2015,30.01965517,12.40540541,23.89189189,0.01,62.89189189,29.99945946,8.015675676,20.67567568,234.0540541,26.8125,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/10/2015,30.26583333,5.34375,21.96875,0,49.125,30.23,9.985,17.875,264.375,20,10.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/11/2015,30.565,2.125,21.28125,0,43.53125,30.5353125,9.985,16.8125,233.125,21,10.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2015,30.278,25.88372093,35.48837209,0.27,70.34883721,30.26581395,7.502093023,32.25581395,204.2857143,20,8.395348837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/13/2015,30.4175,13.1875,26.875,0.01,57.9375,30.3796875,9.3890625,23.3125,256.25,23,10.96875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
