Year,mean_HourlyAltimeterSetting,mean_HourlyDewPointTemperature,mean_HourlyDryBulbTemperature,mean_HourlyPrecipitation,mean_HourlyRelativeHumidity,mean_HourlyStationPressure,mean_HourlyVisibility,mean_HourlyWetBulbTemperature,mean_HourlyWindDirection,mean_HourlyWindGustSpeed,mean_HourlyWindSpeed,mean_chl,mean_phy,mean_ph,mean_Celsius,mean_spcond,mean_do,mean_turb,mean_Salinity,mean_MG,mean_Enterococcus,mean_E_coli,mean_Ammonium (uM).x,mean_Nitrate+nitrite (uM).x,mean_Phosphate (uM).x,mean_Total phosphorus (uM).x,mean_Chlorophyll a (ug/L).x,mean_Phaeophytin (ug/L).x,mean_Ammonium (uM).y,mean_Nitrate+nitrite (uM).y,mean_Phosphate (uM).y,mean_Total phosphorus (uM).y,mean_Chlorophyll a (ug/L).y,mean_Phaeophytin (ug/L).y
2015,30.0361983,39.5705048,51.44927525,0.16890411,66.83185364,30.00895632,8.857706224,46.09676883,202.7460361,23.82859911,10.40334561,2.601397228,1.478409102,8.031275442,24.04212431,0.180828297,8.746728925,4.178903264,4.416676852,NA,20.25,61.7,6.626204545,30.87295455,0.488559091,1.846590909,21.43409091,8.360681818,6.626204545,30.87295455,0.488559091,1.846590909,21.43409091,8.360681818
2016,29.99959868,40.57424226,53.03067681,0.151202186,65.83523936,29.97259061,9.181756212,47.29055527,204.10611,24.30450238,11.08193789,2.076147748,0.940624895,1.510205768,20.94190589,1.510205768,9.126103896,2.449128858,9.6,0.008661202,19.31034483,34,4.02052,30.6439,0.465112,1.7339,21.1832,8.1314,4.02052,30.6439,0.465112,1.7339,21.1832,8.1314
2017,29.99508929,41.25966289,52.358662,0.211561644,69.13051399,29.96832436,8.855333834,47.26635947,201.7017366,25.45752653,11.41014487,2.080754925,0.931160255,7.840495625,20.86525006,0.148869104,9.078961277,2.43100568,3.889484287,0.005635616,102.8166667,185.025,6.093978261,41.12565217,0.690017391,1.765652174,13.29978261,7.471086957,6.093978261,41.12565217,0.690017391,1.765652174,13.29978261,7.471086957
2018,30.03667493,41.46827848,52.73998339,0.257068493,68.23865067,30.01012103,8.716757649,47.58753135,196.771579,25.2679701,11.22325222,1.935524246,0.889424187,7.635049464,21.22682909,0.09699472,8.578728932,2.976260431,2.373331817,0.007452055,150.8661972,567.4647887,5.6488375,37.09791667,0.547916667,1.685708333,9.45375,4.460208333,5.6488375,37.09791667,0.547916667,1.685708333,9.45375,4.460208333
2019,30.00734523,39.37694868,53.12440775,0.237561644,62.38983849,29.98035164,8.912275721,46.91875764,203.4410103,24.82420954,11.21583877,2.412168184,0.80679455,7.721463513,21.87653966,0.128390597,8.830276982,2.237816633,3.285868341,0.013419178,114.9591837,324.4387755,5.099538462,40.44038462,0.555769231,1.757923077,10.68673077,7.177307692,5.099538462,40.44038462,0.555769231,1.757923077,10.68673077,7.177307692
2020,30.01145682,40.68928708,53.24669424,0.182978142,65.56017541,29.98457784,9.148907997,47.5243947,200.5319775,25.49362273,10.92030549,3.400933842,0.688242992,8.458469781,20.82820518,0.410020704,9.978617527,2.87812889,11.70972982,0.002816438,36.67105263,146.1710526,3.772407407,31.86103704,0.515992593,1.77262963,10.05907407,7.258333333,3.772407407,31.86103704,0.515992593,1.77262963,10.05907407,7.258333333
2021,29.99315849,41.31081044,54.37872682,0.229780822,64.3985916,29.96621616,8.988739405,48.30495238,207.9686735,24.99738168,10.56155465,1.50445429,0.239781867,7.258301979,21.75844725,0.064057197,7.629708702,2.214222211,1.540875802,0.035616438,59.47826087,175.2173913,6.745,43.04166667,0.763908333,2.155208333,4.208333333,2.211666667,6.745,43.04166667,0.763908333,2.155208333,4.208333333,2.211666667
2022,30.02083508,40.75935579,53.40607559,0.139479452,65.36506157,29.99424077,9.086325748,47.5893373,206.3509873,25.03760171,11.12967592,2.88311742,0.544010576,8.175466772,22.32764432,0.221204418,9.398162612,1.948137928,5.653595454,0,33.83333333,803.0952381,3.130490909,28.41906818,0.280418182,1.362045455,8.192727273,3.468136364,3.130490909,28.41906818,0.280418182,1.362045455,8.192727273,3.468136364
2023,29.97910319,43.08785838,53.82887865,0.240465753,70.08103557,29.95197532,8.845147022,48.80305109,197.4309866,24.30060722,10.29834499,1.281620613,0.091635514,7.344684723,21.53463098,0.062949453,7.73947883,2.106421888,1.518723244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,29.976,22.85714286,33.42857143,0,64.71428571,29.955,9.982857143,30,343.3333333,NA,7.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,30.02,15.22222222,31.55555556,0,52.88888889,29.99,10,26.33333333,261.1111111,34.5,13.44444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,mean_specificconductivity,mean_Celsius,mean_Salinity,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.180828297,24.04212431,4.416676852,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.510205768,20.94190589,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.148869104,20.86525006,3.889484287,,,,,,,,,,
,,,,,,,,,,,,,mean_chl,mean_phy,mean_ph,mean_Celsius,mean_spcond,mean_do,mean_turb,mean_Salinity,,0.09699472,21.22682909,2.373331817,,,,,,,,,,
,,,,,,,,,,,,,2.601397228,1.478409102,8.031275442,24.04212431,0.180828297,8.746728925,4.178903264,4.416676852,,0.128390597,21.87653966,3.285868341,,,,,,,,,,
,,,,,,,,,,,,,2.080754925,0.931160255,7.840495625,20.86525006,0.148869104,9.078961277,2.43100568,3.889484287,,0.410020704,20.82820518,11.70972982,,,,,,,,,,
,,,,,,,,,,,,,1.935524246,0.889424187,7.635049464,21.22682909,0.09699472,8.578728932,2.976260431,2.373331817,,0.064057197,21.75844725,1.540875802,,,,,,,,,,
,,,,,,,,,,,,,2.412168184,0.80679455,7.721463513,21.87653966,0.128390597,8.830276982,2.237816633,3.285868341,,0.221204418,22.32764432,5.653595454,,,,,,,,,,
,,,,,,,,,,,,,3.400933842,0.688242992,8.458469781,20.82820518,0.410020704,9.978617527,2.87812889,11.70972982,,0.062949453,21.53463098,1.518723244,,,,,,,,,,
,,,,,,,,,,,,,1.50445429,0.239781867,7.258301979,21.75844725,0.064057197,7.629708702,2.214222211,1.540875802,,NA,NA,NA,,,,,,,,,,
,,,,,,,,,,,,,2.88311742,0.544010576,8.175466772,22.32764432,0.221204418,9.398162612,1.948137928,5.653595454,,NA,NA,NA,,,,,,,,,,
,,,,,,,,,,,,,1.281620613,0.091635514,7.344684723,21.53463098,0.062949453,7.73947883,2.106421888,1.518723244,,,,,,,,,,,,,,
